Linux 5.15.0-73-generic (ubuntu2004) 	06/15/2023 	_x86_64_	(8 CPU)

06:59:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:00:17 PM  all   91.38    0.00    7.43    0.03    0.00    0.11    0.00    0.00    0.00    1.04
07:00:47 PM  all   93.43    0.00    5.71    0.00    0.00    0.03    0.00    0.00    0.00    0.83
07:01:17 PM  all   92.75    0.00    6.51    0.00    0.00    0.02    0.00    0.00    0.00    0.73
07:01:47 PM  all   52.84    0.00    4.42    0.05    0.00    0.03    0.00    0.00    0.00   42.66
07:02:17 PM  all    1.26    0.00    2.56    0.11    0.00    0.14    0.00    0.00    0.00   95.93
07:02:47 PM  all    0.68    0.00    1.12    0.05    0.00    0.07    0.00    0.00    0.00   98.07
07:03:17 PM  all    1.27    0.00    1.76    0.04    0.00    0.08    0.00    0.00    0.00   96.86
07:03:47 PM  all    2.41    0.00    4.03    0.45    0.00    0.31    0.00    0.00    0.00   92.80
07:04:17 PM  all    0.08    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   99.68
07:04:47 PM  all    0.13    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.62
07:05:17 PM  all    0.10    0.00    0.23    0.20    0.00    0.10    0.00    0.00    0.00   99.38
07:05:47 PM  all    0.08    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   99.65
07:06:17 PM  all    0.10    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   99.69
07:06:47 PM  all    0.83    0.00    0.81    0.00    0.00    0.00    0.00    0.00    0.00   98.35
07:07:17 PM  all    1.48    0.00    1.05    0.00    0.00    0.01    0.00    0.00    0.00   97.46
07:07:47 PM  all    3.03    0.00    1.78    0.12    0.00    0.08    0.00    0.00    0.00   94.98
07:08:17 PM  all    1.09    0.00    1.02    0.00    0.00    0.02    0.00    0.00    0.00   97.87
07:08:47 PM  all    1.80    0.00    1.55    0.00    0.00    0.01    0.00    0.00    0.00   96.63
07:09:17 PM  all    1.07    0.00    0.84    0.00    0.00    0.00    0.00    0.00    0.00   98.08
07:09:47 PM  all    0.54    0.00    0.46    0.00    0.00    0.01    0.00    0.00    0.00   98.99
07:10:17 PM  all    0.20    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.59
07:10:47 PM  all    0.26    0.00    0.25    0.00    0.00    0.01    0.00    0.00    0.00   99.49
07:11:17 PM  all    2.67    0.00    1.76    0.11    0.00    0.08    0.00    0.00    0.00   95.38
07:11:47 PM  all    0.49    0.00    0.61    0.01    0.00    0.04    0.00    0.00    0.00   98.85
