Linux 5.15.0-73-generic (ubuntu2004) 	06/11/2023 	_x86_64_	(8 CPU)

09:55:17 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:55:47 PM  all   89.75    0.00    7.81    0.00    0.00    0.05    0.00    0.00    0.00    2.39
09:56:17 PM  all   88.64    0.00    8.19    0.00    0.00    0.06    0.00    0.00    0.00    3.10
09:56:47 PM  all   89.39    0.00    8.05    0.00    0.00    0.05    0.00    0.00    0.00    2.51
09:57:17 PM  all   89.31    0.00    8.34    0.00    0.00    0.03    0.00    0.00    0.00    2.32
09:57:47 PM  all   88.78    0.00    7.89    0.00    0.00    0.03    0.00    0.00    0.00    3.30
09:58:17 PM  all   91.71    0.00    6.20    0.00    0.00    0.02    0.00    0.00    0.00    2.07
09:58:47 PM  all   91.75    0.00    6.32    0.00    0.00    0.04    0.00    0.00    0.00    1.89
09:59:17 PM  all   89.45    0.00    8.32    0.00    0.00    0.05    0.00    0.00    0.00    2.19
09:59:47 PM  all   86.44    0.00   10.06    0.00    0.00    0.05    0.00    0.00    0.00    3.45
10:00:17 PM  all   91.28    0.00    6.72    0.00    0.00    0.03    0.00    0.00    0.00    1.98
10:00:47 PM  all   91.42    0.00    6.36    0.00    0.00    0.04    0.00    0.00    0.00    2.18
10:01:17 PM  all   90.07    0.00    7.59    0.00    0.00    0.05    0.00    0.00    0.00    2.29
10:01:47 PM  all   87.08    0.00    9.30    0.00    0.00    0.04    0.00    0.00    0.00    3.58
10:02:17 PM  all   89.52    0.00    7.89    0.00    0.00    0.03    0.00    0.00    0.00    2.56
10:02:47 PM  all   89.30    0.00    7.96    0.00    0.00    0.04    0.00    0.00    0.00    2.69
10:03:17 PM  all   90.91    0.00    6.96    0.00    0.00    0.02    0.00    0.00    0.00    2.11
10:03:47 PM  all   90.28    0.00    7.20    0.00    0.00    0.04    0.00    0.00    0.00    2.48
10:04:17 PM  all   89.96    0.00    8.09    0.00    0.00    0.02    0.00    0.00    0.00    1.94
10:04:47 PM  all   92.28    0.00    5.89    0.00    0.00    0.02    0.00    0.00    0.00    1.81
10:05:17 PM  all   91.33    0.00    6.59    0.00    0.00    0.04    0.00    0.00    0.00    2.04
10:05:47 PM  all   52.00    0.00    6.74    0.00    0.00    0.09    0.00    0.00    0.00   41.16
10:06:17 PM  all    0.09    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   99.77
10:06:47 PM  all    0.08    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   99.67
Average:     all   80.41    0.00    6.90    0.00    0.00    0.04    0.00    0.00    0.00   12.65
