Linux 5.15.0-73-generic (ubuntu2004) 	06/14/2023 	_x86_64_	(8 CPU)

04:30:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:31:26 PM  all   77.39    0.00   19.75    0.16    0.00    0.23    0.00    0.00    0.00    2.47
04:31:56 PM  all   93.26    0.00    5.73    0.00    0.00    0.02    0.00    0.00    0.00    0.99
04:32:26 PM  all   92.94    0.00    6.01    0.00    0.00    0.02    0.00    0.00    0.00    1.02
04:32:56 PM  all   93.15    0.00    5.76    0.00    0.00    0.03    0.00    0.00    0.00    1.06
04:33:26 PM  all   30.75    0.00    2.52    0.00    0.00    0.01    0.00    0.00    0.00   66.72
04:33:56 PM  all    0.17    0.00    0.42    0.00    0.00    0.01    0.00    0.00    0.00   99.40
04:34:26 PM  all    0.10    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   99.58
04:34:56 PM  all    1.88    0.00    0.73    0.01    0.00    0.00    0.00    0.00    0.00   97.38
04:35:26 PM  all    0.10    0.00    0.12    0.00    0.00    0.01    0.00    0.00    0.00   99.77
04:35:56 PM  all   73.01    0.00    5.54    0.00    0.00    0.03    0.00    0.00    0.00   21.42
04:36:26 PM  all   93.22    0.00    5.95    0.00    0.00    0.01    0.00    0.00    0.00    0.82
04:36:56 PM  all   93.05    0.00    6.13    0.00    0.00    0.01    0.00    0.00    0.00    0.82
04:37:26 PM  all   93.37    0.00    5.87    0.00    0.00    0.01    0.00    0.00    0.00    0.76
04:37:56 PM  all   30.25    0.00    2.38    0.00    0.00    0.01    0.00    0.00    0.00   67.36
04:38:26 PM  all    0.07    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   99.82
04:38:56 PM  all    0.12    0.00    0.23    0.00    0.00    0.00    0.00    0.00    0.00   99.64
04:39:26 PM  all    1.37    0.00    0.23    0.00    0.00    0.01    0.00    0.00    0.00   98.39
04:39:56 PM  all    0.10    0.00    0.13    0.00    0.00    0.01    0.00    0.00    0.00   99.76
04:40:26 PM  all   75.24    0.00    5.13    0.00    0.00    0.00    0.00    0.00    0.00   19.63
04:40:56 PM  all   92.89    0.00    6.36    0.00    0.00    0.02    0.00    0.00    0.00    0.72
04:41:26 PM  all   92.86    0.00    6.38    0.00    0.00    0.01    0.00    0.00    0.00    0.74
04:41:56 PM  all   93.22    0.00    6.06    0.00    0.00    0.01    0.00    0.00    0.00    0.72
04:42:26 PM  all   32.74    0.00    2.20    0.00    0.00    0.02    0.00    0.00    0.00   65.04
04:42:56 PM  all    0.08    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.79
04:43:26 PM  all    0.07    0.00    0.16    0.00    0.00    0.00    0.00    0.00    0.00   99.77
04:43:56 PM  all    1.57    0.00    0.23    0.01    0.00    0.00    0.00    0.00    0.00   98.19
04:44:26 PM  all    0.29    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.58
04:44:56 PM  all   72.66    0.00    5.08    0.00    0.00    0.01    0.00    0.00    0.00   22.24
04:45:26 PM  all   93.40    0.00    5.99    0.00    0.00    0.01    0.00    0.00    0.00    0.60
04:45:56 PM  all   93.33    0.00    6.03    0.00    0.00    0.00    0.00    0.00    0.00    0.63
Average:     all   47.33    0.00    3.69    0.01    0.00    0.02    0.00    0.00    0.00   48.95
Linux 5.15.0-73-generic (ubuntu2004) 	06/14/2023 	_x86_64_	(8 CPU)

05:43:04 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:43:34 PM  all   90.51    0.00    8.67    0.01    0.00    0.04    0.00    0.00    0.00    0.78
05:44:04 PM  all   93.04    0.00    6.24    0.00    0.00    0.03    0.00    0.00    0.00    0.68
05:44:34 PM  all   93.23    0.00    6.09    0.00    0.00    0.02    0.00    0.00    0.00    0.66
05:45:04 PM  all   92.65    0.00    6.37    0.00    0.00    0.02    0.00    0.00    0.00    0.97
