Linux 5.15.0-73-generic (ubuntu2004) 	06/14/2023 	_x86_64_	(8 CPU)

12:31:07 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:31:37 PM  all   90.04    0.00    8.52    0.00    0.00    0.05    0.00    0.00    0.00    1.40
12:32:07 PM  all   90.58    0.00    7.78    0.00    0.00    0.05    0.00    0.00    0.00    1.59
12:32:37 PM  all   93.24    0.00    5.80    0.00    0.00    0.01    0.00    0.00    0.00    0.95
12:33:07 PM  all   93.00    0.00    5.98    0.00    0.00    0.03    0.00    0.00    0.00    0.99
12:33:37 PM  all   18.09    0.00    1.64    0.00    0.00    0.00    0.00    0.00    0.00   80.27
12:34:07 PM  all    0.11    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   99.75
12:34:37 PM  all    0.11    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   99.71
12:35:07 PM  all    0.32    0.00    0.48    0.00    0.00    0.02    0.00    0.00    0.00   99.18
12:35:37 PM  all    1.42    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.41
12:36:07 PM  all    0.10    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.72
12:36:37 PM  all    0.12    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.68
12:37:07 PM  all    0.08    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.80
12:37:37 PM  all   42.70    0.00    2.74    0.00    0.00    0.02    0.00    0.00    0.00   54.54
12:38:07 PM  all   93.40    0.00    5.88    0.00    0.00    0.01    0.00    0.00    0.00    0.70
12:38:37 PM  all   93.46    0.00    5.86    0.00    0.00    0.03    0.00    0.00    0.00    0.66
12:39:07 PM  all   93.58    0.00    5.83    0.00    0.00    0.01    0.00    0.00    0.00    0.59
12:39:37 PM  all   57.81    0.00    3.81    0.00    0.00    0.00    0.00    0.00    0.00   38.38
